Epoch	Batch	Perplexity
3	10	158.8888
3	11	180.0396
3	12	148.6545
3	13	144.0425
3	14	164.0696
3	15	173.6772
3	16	164.6796
3	17	166.5435
3	18	163.9578
3	19	169.3479
3	20	173.7507
3	21	151.4087
3	22	148.3011
3	23	163.1802
3	24	159.7850
3	25	168.4440
3	26	159.0000
3	27	176.4222
3	28	142.5103
3	29	163.4977
3	30	162.5678
3	31	177.1784
3	32	181.2460
3	33	148.7763
3	34	152.0810
3	35	158.1668
3	36	148.3231
3	37	162.0825
3	38	168.0750
3	39	153.0468
3	40	150.7666
3	41	147.8215
3	42	184.0440
3	43	144.0585
3	44	159.1960
3	45	148.6986
3	46	156.1145
3	47	157.9127
3	48	156.3799
3	49	151.4470
3	50	185.9827
3	51	180.7846
3	52	158.3701
3	53	163.5621
3	54	137.8130
3	55	162.1187
3	56	138.4730
3	57	144.6714
3	58	172.8729
3	59	170.3099
3	60	157.4965
3	61	155.4573
3	62	161.7685
3	63	149.9147
3	64	169.2856
3	65	148.2578
3	66	147.1952
3	67	130.0222
3	68	142.9137
3	69	148.7052
3	70	146.4673
3	71	153.0369
3	72	153.5948
3	73	149.8655
3	74	153.9862
3	75	155.4993
3	76	132.3949
3	77	157.3946
3	78	169.7120
3	79	156.7564
3	80	159.8962
3	81	153.0763
3	82	135.6645
3	83	145.4941
3	84	157.2571
3	85	165.0486
3	86	139.4334
3	87	153.4896
3	88	153.9032
3	89	143.2748
3	90	171.9372
3	91	159.4978
3	92	143.1320
3	93	154.6461
3	94	157.8151
3	95	157.1350
3	96	144.2520
3	97	146.2796
3	98	143.3339
3	99	153.1062
3	100	153.9106
3	101	139.2674
3	102	148.4526
3	103	152.3024
3	104	139.6535
3	105	139.2200
3	106	138.1092
3	107	175.5839
3	108	152.3629
3	109	165.1727
3	110	142.8101
3	111	146.0575
3	112	141.6311
3	113	142.9715
3	114	156.8953
3	115	150.0864
3	116	138.3260
3	117	160.1845
3	118	174.7112
3	119	136.1520
3	120	144.8559
3	121	155.4127
3	122	155.3657
3	123	152.3857
3	124	133.0984
3	125	147.4007
3	126	142.6834
3	127	123.6349
3	128	153.6029
3	129	148.0482
3	130	138.0175
3	131	135.7805
3	132	118.9764
3	133	109.9253
3	134	157.1760
3	135	155.7065
3	136	144.3498
3	137	158.3568
3	138	133.2972
3	139	150.6694
3	140	141.2121
3	141	149.4747
3	142	136.5241
3	143	124.1707
3	144	136.3170
3	145	163.2838
3	146	140.7427
End of Epoch 3 - Average Train Perplexity: 152.8709
4	1	142.7534
4	2	130.7806
4	3	150.6355
4	4	140.8256
4	5	142.8254
4	6	134.1551
